,LGBMClassifier,XGBoost simple,CatBoost
precision,0.8244525018412662,0.8390968561660743,0.845045462852087
recall,0.5739178007323605,0.5641912881893206,0.5611989397168935
f1,0.6760928209877026,0.6741601226885178,0.6737328028492233
mcc,0.6800854487298572,0.6804945508025908,0.681074907518191
damage_total,6015.164000000001,6015.164000000001,6015.164000000001
damage_prevented,3671.4324000000006,3615.2260000000006,3610.3032000000003
damage_missed,2343.7315999999996,2399.938,2404.8608
detected bonus,2455.2,2413.6,2400.8
fp penalty,1053.2,934.0,892.0
Bewertung,-941.7315999999998,-920.3379999999999,-896.0608
cm,"[[28568.48   105.32]
 [  364.56   491.04]]","[[28580.4     93.4 ]
 [  372.88   482.72]]","[[28584.6     89.2 ]
 [  375.44   480.16]]"
