Decision Tree,Random Forest,LGBMClassifier,XGBoost simple,XGBoost,CatBoost,NeuralNet
0.7491392889044296,0.7529818785448923,0.8426939300031978,0.8424397188299575,0.8436112538735511,0.8538054331738212,0.816170952821926
0.8253424657534246,0.816247582205029,0.8783542039355993,0.8823529411764706,0.8870967741935484,0.8875,0.8615071283095723
0.6755725190839694,0.7219662058371735,0.8160291438979964,0.8073555166374781,0.8184931506849316,0.819672131147541,0.7738317757009345
0.000804544668550318,0.0005411338233722045,0.00024037200147300437,0.00031238730948295854,0.00026914221106903865,0.00028520798987654883,0.000491356736414074
0.5613382521724872,0.5401599169262721,0.5486229436519648,0.5523631742908673,0.5485293764005028,0.542966825162595,0.508089796141444
0.6210526315789474,0.6004672897196262,0.591812865497076,0.5789473684210527,0.5847953216374269,0.5883040935672514,0.5309941520467836
0.5093457943925234,0.46845794392523366,0.5210280373831776,0.522196261682243,0.514018691588785,0.514018691588785,0.47313084112149534
0.0005208342045810721,0.0009257558778332676,0.0003282819259605636,0.00027212176348811616,0.0003016039528967497,0.00030310439633544754,0.0002734352263159018
0.6411858428636479,0.6280896624389085,0.6643835172315278,0.667068730820469,0.6646086869316159,0.6636221666858533,0.6260188912254143
0.6769436997319035,0.6609836065573771,0.6944837340876945,0.6991525423728814,0.7006369426751592,0.7024734982332156,0.6493506493506493
0.6046195652173914,0.5901398086828551,0.6366880799428979,0.6452533904354033,0.6362979031091829,0.6394849785407726,0.5956834532374101
0.00025947174089877164,0.00028908242879164544,0.0002175335306317656,0.00020570089310362752,0.00020941937771072467,0.00022370411393694806,0.0001944956513578732
0.6392962477451987,0.6283601100166726,0.672558254921689,0.6747981039863518,0.6728887550243684,0.6736507453431141,0.6359117225923162
0.6765345451811849,0.6572450043664934,0.703663880728615,0.7082645705791943,0.7102580281031728,0.7118886615366824,0.6605490565546526
0.6031218633592648,0.5993851102962637,0.6451634754848858,0.6518664960013838,0.6475332174090928,0.6483125742566906,0.6034329770316299
0.0002647829433479319,0.00019828323970164793,0.00019161299301242174,0.00019479730421509227,0.00018897883318145768,0.00020442001206944212,0.0001874070005974374
0.6549413425744126,0.6805720138561068,0.728870580264242,0.7300863058572549,0.7298665885980608,0.7326118180231381,0.6814895505088749
0.6788254932975921,0.7117792244086819,0.756552369531089,0.7571050734513887,0.7556548448067059,0.7583409757390482,0.7089155131067
0.6147367356514442,0.6506448718398197,0.6902438943703224,0.6951142789248346,0.6964820664104656,0.6961123451788749,0.6485443162763896
0.00017932757264390323,0.00022010984267420533,0.00018462867452739284,0.00016835813399709447,0.00015898021699201626,0.0001584316988297977,0.00021449202424264613
6015.164000000001,6015.164000000001,6015.164000000001,6015.164000000001,6015.164000000001,6015.164000000001,6015.164000000001
6406.42,6406.42,6406.42,6406.42,6406.42,6406.42,6406.42
5666.31,5666.31,5666.31,5666.31,5666.31,5666.31,5666.31
34236.24887200003,34236.24887200003,34236.24887200003,34236.24887200003,34236.24887200003,34236.24887200003,34236.24887200003
3648.4736,3484.5408,3524.9136,3555.0488,3520.1556,3510.2512,3356.1388
3972.2,3820.2200000000003,3700.2799999999997,3793.16,3703.01,3691.53,3675.33
3343.41,3022.27,3258.98,3364.4500000000003,3254.58,3246.76,3113.36
23705.847159039982,35648.83027936,18117.608215039993,16221.116850559989,15553.324888640003,16565.178714559985,21295.418978560007
2366.6904,2530.6232,2490.2504,2460.1152,2495.0083999999997,2504.9128,2659.0252
2743.9700000000003,2936.2999999999997,2747.48,2708.3,2745.34,2805.01,2945.8
1989.1300000000003,2131.29,2196.48,2215.2599999999998,2227.9100000000003,2199.9700000000003,2487.7799999999997
27738.490811839984,39912.99754975999,16880.381035840004,17528.974184960014,17997.28366943998,19312.06534015999,17257.65915296003
2401.4,2310.8,2347.0,2363.0,2346.6,2322.8,2173.6
2655,2570,2530,2475,2500,2515,2270
2180,2005,2230,2235,2200,2200,2025
9507.04,16925.36,5966.0,4936.0,5479.439999999999,5490.160000000001,4969.04
1620.0,1528.4,877.6,885.6,871.6,796.8,983.2
2550,1880,1010,1100,1060,990,1280
1020,950,680,660,630,620,680
76856.0,57989.44,10170.24,13120.64,11501.44,10901.76,22093.76
-1585.2903999999999,-1748.2232000000001,-1020.8503999999999,-982.7152000000001,-1020.0083999999999,-978.9127999999998,-1468.6252000000002
-965.78,-1366.7,-527.25,-487.4099999999999,-447.84,-406.89,-1047.78
-1985.06,-2094.91,-1349.65,-1297.18,-1415.3399999999997,-1362.71,-1908.6399999999999
65783.79193183998,38782.59290976001,44012.920555840006,48039.95114496003,48552.53966944,50055.222940160005,50080.83131296001
"[[28511.8    162.  ]
 [  375.32   480.28]]","[[28520.96   152.84]
 [  393.44   462.16]]","[[28586.04    87.76]
 [  386.2    469.4 ]]","[[28585.24    88.56]
 [  383.     472.6 ]]","[[28586.64    87.16]
 [  386.28   469.32]]","[[28594.12    79.68]
 [  391.04   464.56]]","[[28575.48    98.32]
 [  420.88   434.72]]"
